tweet_id,text,created_at,location,type,hashtags,likes
1,"""Just saw the sunset at Playa del Carmen! #BeachLife #Mexico""",15/06/2025 14:32,Playa del Carmen,beach,#BeachLife#Mexico,1523
2,"""Obsessed with the new 'As It Was' remix! #AsItWasRemix #HarryStyles""",22/07/2025 10:01,London,song,#AsItWasRemix#HarryStyles,1850
3,"""Dancing the #Macarena all night long in Barcelona! #MacarenaChallenge #Spain""",01/08/2025 21:45,Barcelona,dance,#MacarenaChallenge#Spain,987
4,"""Best tacos ever at Taqueria el Rey in Mexico City! #TacosAlPastor #MexicoCity""",10/05/2025 18:20,Mexico City,food,#TacosAlPastor#MexicoCity,1205
5,"""Having a blast at the Coachella Festival! #Coachella2025 #FestivalVibes""",05/07/2025 11:53,Indio,festivals,#Coachella2025#FestivalVibes,1900
6,"""Sipping margaritas at the Mandala Beach Club in Cancun! #MargaritaTime #Cancun""#BeachBar",28/06/2025 16:10,Cancun,place,#MargaritaTime#Cancun#BeachBar,782
7,"""The Beyoncé concert in New York was AMAZING! #RenaissanceTour #Beyonce"" #New York",12/08/2025 23:59,New York,shows,#RenaissanceTour#Beyonce,1120
8,"""Loved the Spicy Tuna Roll at Nobu! #Nobu #Sushi""",18/07/2025 13:47,Los Angeles,food,#Nobu#Sushi,567
9,"""Can't stop listening to 'Flowers' by Miley Cyrus! #Flowers #MileyCyrus""",25/05/2025 9:30,Nashville,song,#Flowers#MileyCyrus,1600
10,"""Partying at the Tomorrowland Festival! #Tomorrowland #EDM""",20/06/2025 0:15,Belgium,festivals,#Tomorrowland#EDM,2000
11,"""Such a great time at the local cafe  The Daily Grind! #DailyGrind #Cafe""",02/07/2025 15:23,Chicago,place,#DailyGrind#Cafe,345
12,"""The best burger in town is at Five Guys! #FiveGuys #Burger""",18/05/2025 19:40,London,food,#FiveGuys#Burger,876
13,"""Just learned the #JiggleJiggle dance! #JiggleJiggleChallenge #Dance""",05/08/2025 10:52,Paris,dance,#JiggleJiggleChallenge#Dance,1432
14,"""Enjoying a delicious pizza at Pizzeria Uno in Chicago! #DeepDish #Pizza""",01/06/2025 12:17,Chicago,food,#DeepDish#Pizza,654
15,"""Hanging out at Bondi Beach in Sydney! #BondiBeach #Australia""",29/07/2025 17:38,Sydney,beach,#BondiBeach#Australia,1189
16,"""Such a vibe at the Justin Bibber concert! #ConcertVibes #Music""",15/08/2025 21:02,Berlin,shows,#ConcertVibes#Music,901
17,"""The best pasta in Rome! #Pasta #Rome""#Cantina e Cucina",03/05/2025 20:51,Rome,food,#Pasta#Rome#Cantina e Cucina,456
18,"""Can't stop dancing to 'Cruel Summer'! #CruelSummer #TaylorSwift""",10/06/2025 8:44,New York,song,#CruelSummer#TaylorSwift,1785
19,"""Beautiful views from the top of the Eiffel Tower! #EiffelTower #Paris""",08/07/2025 16:05,Paris,place,#EiffelTower#Paris,1320
20,"""Sipping mojitos a the El Floridita Bar in Havana! #Mojito #Havana""",20/05/2025 11:29,Havana,Bar,#Mojito#Havana,890
21,"""Loving the new 'Anti-Hero' remix! #AntiHeroRemix #TaylorSwift""",10/07/2025 18:23,London,song,#AntiHeroRemix#TaylorSwift,1578
22,"""Sunset at Ipanema Beach was breathtaking! #IpanemaBeach #Rio""",20/06/2025 11:50,RiodeJaneiro,beach,#IpanemaBeach#Rio,1295
23,"""Just danced the #Kilimanjaro dance! #KilimanjaroChallenge #Dance""",05/08/2025 14:37,Nairobi,dance,#KilimanjaroChallenge#Dance,876
24,"""Amazing time at the Glastonbury Festival! #Glastonbury2025 #Festival""",25/07/2025 21:15,Pilton,festivals,#Glastonbury2025#Festival,1950
25,"""The best ramen in Tokyo! #Ramen #Tokyo#Ramen Tatsunoya Shinjuku Otakibashid?ri",15/05/2025 10:42,Tokyo,food,#Ramen#Tokyo,1123
26,"""Drinks with friends at The Blue Lagoon bar! #BlueLagoon #Bar""",01/06/2025 23:08,Reykjavik,place,#BlueLagoon#Bar,654
27,"""Saw the Harry Styles concert! #HarryStyles #LoveOnTour""",18/08/2025 20:52,LosAngeles,shows,#HarryStyles#LoveOnTour,1800
28,"""Delicious Paella at Casa Carmela! #Paella #Valencia""",01/07/2025 13:11,Valencia,food,#Paella#Valencia,987
29,"""The view from the Burj Khalifa was incredible! #BurjKhalifa #Dubai""",28/05/2025 16:35,Dubai,place,#BurjKhalifa#Dubai,1456
30,"""Amazing time at the local cafe The Coffee Bean & Tea Leaf! #CoffeeBean #Cafe""",12/06/2025 9:27,Toronto,place,#CoffeeBean#Cafe,502
31,"""Best pizza ever at Pizzeria della Madonna dei Monti! #Pizza #Italy""",20/07/2025 22:41,Rome,food,#Pizza#Italy,789
32,"""Can't stop listening to 'Kill Bill'! #KillBill #SZA""",05/05/2025 11:00,NewYork,song,#KillBill#SZA,1678
33,"""Enjoying the beach ,North Beach Oceanside Park! #MiamiBeach #Florida""",10/08/2025 15:28,Miami,beach,#MiamiBeach#Florida,1321
34,"""Just tried the new mango smoothie in The Smoothie Co.! #MangoSmoothie #SummerDrink""",25/06/2025 17:49,Sydney,food,#MangoSmoothie#SummerDrink,475
35,"""So much fun at the Champs-�lys�es Film Festival! #Event #FunTimes""",15/07/2025 19:32,Paris,event,#Event#FunTimes,632
36,"""Dancing to 'As It Was' all night long! #AsItWas #HarryStyles""",20/08/2025 23:55,London,song,#AsItWas#HarryStyles,1712
37,"""Tried the new spicy wings! #SpicyWings #Food""#better pound wings",30/05/2025 14:16,LosAngeles,food,#SpicyWings#Food,910
38,"""Best coffee in town is at this cafe! #Cafe #Coffee""#nur coffee Berlin",08/06/2025 10:54,Berlin,place,#Cafe#Coffee,387
39,"""Amazing show last night! #Show #Music"" #HarryStyles",31/07/2025 0:12,Tokyo,shows,#Show#Music,1054
40,"""The best burger in the world! #Burger #Foodie""#Black Iron Burger",12/05/2025 18:51,NewYork,food,#Burger#Foodie,822
41,"""Just saw the sunset at Waikiki Beach! #Waikiki #Hawaii""",18/06/2025 17:45,Honolulu,beach,#Waikiki#Hawaii,1357
42,"""Obsessed with the new song 'Flowers'! #Flowers #MileyCyrus""",29/07/2025 11:20,Nashville,song,#Flowers#MileyCyrus,1890
43,"""Dancing the #ChaChaSlide all night long! #ChaChaSlideChallenge #Dance""",08/08/2025 22:10,NewYork,dance,#ChaChaSlideChallenge#Dance,912
44,"""Best tacos ever at this food truck! #Tacos #StreetFood""#The Lime Truck",12/05/2025 19:30,LosAngeles,food,#Tacos#StreetFood,1156
45,"""Having a blast at the Tomorrowland Festival! #Tomorrowland #EDM""",01/07/2025 14:55,Boom,festivals,#Tomorrowland#EDM,1987
46,"""Sipping margaritas at a beach bar Taboo in Tulum! #Tulum #Mexico""#Taboo",22/06/2025 18:05,Tulum,place,#Tulum#Mexico,815
47,"""The Beyoncé concert was incredible! #RenaissanceTour #Beyonce""",15/08/2025 21:48,London,shows,#RenaissanceTour#Beyonce,1722
48,"""Loved the sushi at this new spot! #Sushi #JapaneseFood""#Uogashi Nihon-Ichi",21/07/2025 16:32,Tokyo,food,#Sushi#JapaneseFood,689
49,"""Can't stop listening to 'Cruel Summer'! #CruelSummer #TaylorSwift""",20/05/2025 9:45,Nashville,song,#CruelSummer#TaylorSwift,1550
