tweet_id,text,created_at,location,type,hashtags,likes
1,just saw the sunset at playa del carmen beachlife mexico,15/06/2025 14:32,Playa del Carmen,beach,#BeachLife#Mexico,1523
2,obsessed with the new as it was remix asitwasremix harrystyles,22/07/2025 10:01,London,song,#AsItWasRemix#HarryStyles,1850
3,dancing the macarena all night long in barcelona macarenachallenge spain,01/08/2025 21:45,Barcelona,dance,#MacarenaChallenge#Spain,987
4,best tacos ever at taqueria el rey in mexico city tacosalpastor mexicocity,10/05/2025 18:20,Mexico City,food,#TacosAlPastor#MexicoCity,1205
5,having a blast at the coachella festival coachella2025 festivalvibes,05/07/2025 11:53,Indio,festivals,#Coachella2025#FestivalVibes,1900
6,sipping margaritas at the mandala beach club in cancun margaritatime cancun beachbar,28/06/2025 16:10,Cancun,place,#MargaritaTime#Cancun#BeachBar,782
7,the beyonc concert in new york was amazing renaissancetour beyonce new york,12/08/2025 23:59,New York,shows,#RenaissanceTour#Beyonce,1120
8,loved the spicy tuna roll at nobu nobu sushi,18/07/2025 13:47,Los Angeles,food,#Nobu#Sushi,567
9,can t stop listening to flowers by miley cyrus flowers mileycyrus,25/05/2025 9:30,Nashville,song,#Flowers#MileyCyrus,1600
10,partying at the tomorrowland festival tomorrowland edm,20/06/2025 0:15,Belgium,festivals,#Tomorrowland#EDM,2000
11,such a great time at the local cafe the daily grind dailygrind cafe,02/07/2025 15:23,Chicago,place,#DailyGrind#Cafe,345
12,the best burger in town is at five guys fiveguys burger,18/05/2025 19:40,London,food,#FiveGuys#Burger,876
13,just learned the jigglejiggle dance jigglejigglechallenge dance,05/08/2025 10:52,Paris,dance,#JiggleJiggleChallenge#Dance,1432
14,enjoying a delicious pizza at pizzeria uno in chicago deepdish pizza,01/06/2025 12:17,Chicago,food,#DeepDish#Pizza,654
15,hanging out at bondi beach in sydney bondibeach australia,29/07/2025 17:38,Sydney,beach,#BondiBeach#Australia,1189
16,such a vibe at the justin bibber concert concertvibes music,15/08/2025 21:02,Berlin,shows,#ConcertVibes#Music,901
17,the best pasta in rome pasta rome cantina e cucina,03/05/2025 20:51,Rome,food,#Pasta#Rome#Cantina e Cucina,456
18,can t stop dancing to cruel summer cruelsummer taylorswift,10/06/2025 8:44,New York,song,#CruelSummer#TaylorSwift,1785
19,beautiful views from the top of the eiffel tower eiffeltower paris,08/07/2025 16:05,Paris,place,#EiffelTower#Paris,1320
20,sipping mojitos a the el floridita bar in havana mojito havana,20/05/2025 11:29,Havana,Bar,#Mojito#Havana,890
21,loving the new anti hero remix antiheroremix taylorswift,10/07/2025 18:23,London,song,#AntiHeroRemix#TaylorSwift,1578
22,sunset at ipanema beach was breathtaking ipanemabeach rio,20/06/2025 11:50,RiodeJaneiro,beach,#IpanemaBeach#Rio,1295
23,just danced the kilimanjaro dance kilimanjarochallenge dance,05/08/2025 14:37,Nairobi,dance,#KilimanjaroChallenge#Dance,876
24,amazing time at the glastonbury festival glastonbury2025 festival,25/07/2025 21:15,Pilton,festivals,#Glastonbury2025#Festival,1950
25,the best ramen in tokyo ramen tokyo ramen tatsunoya shinjuku otakibashid ri,15/05/2025 10:42,Tokyo,food,#Ramen#Tokyo,1123
26,drinks with friends at the blue lagoon bar bluelagoon bar,01/06/2025 23:08,Reykjavik,place,#BlueLagoon#Bar,654
27,saw the harry styles concert harrystyles loveontour,18/08/2025 20:52,LosAngeles,shows,#HarryStyles#LoveOnTour,1800
28,delicious paella at casa carmela paella valencia,01/07/2025 13:11,Valencia,food,#Paella#Valencia,987
29,the view from the burj khalifa was incredible burjkhalifa dubai,28/05/2025 16:35,Dubai,place,#BurjKhalifa#Dubai,1456
30,amazing time at the local cafe the coffee bean tea leaf coffeebean cafe,12/06/2025 9:27,Toronto,place,#CoffeeBean#Cafe,502
31,best pizza ever at pizzeria della madonna dei monti pizza italy,20/07/2025 22:41,Rome,food,#Pizza#Italy,789
32,can t stop listening to kill bill killbill sza,05/05/2025 11:00,NewYork,song,#KillBill#SZA,1678
33,enjoying the beach north beach oceanside park miamibeach florida,10/08/2025 15:28,Miami,beach,#MiamiBeach#Florida,1321
34,just tried the new mango smoothie in the smoothie co mangosmoothie summerdrink,25/06/2025 17:49,Sydney,food,#MangoSmoothie#SummerDrink,475
35,so much fun at the champs lys es film festival event funtimes,15/07/2025 19:32,Paris,event,#Event#FunTimes,632
36,dancing to as it was all night long asitwas harrystyles,20/08/2025 23:55,London,song,#AsItWas#HarryStyles,1712
37,tried the new spicy wings spicywings food better pound wings,30/05/2025 14:16,LosAngeles,food,#SpicyWings#Food,910
38,best coffee in town is at this cafe cafe coffee nur coffee berlin,08/06/2025 10:54,Berlin,place,#Cafe#Coffee,387
39,amazing show last night show music harrystyles,31/07/2025 0:12,Tokyo,shows,#Show#Music,1054
40,the best burger in the world burger foodie black iron burger,12/05/2025 18:51,NewYork,food,#Burger#Foodie,822
41,just saw the sunset at waikiki beach waikiki hawaii,18/06/2025 17:45,Honolulu,beach,#Waikiki#Hawaii,1357
42,obsessed with the new song flowers flowers mileycyrus,29/07/2025 11:20,Nashville,song,#Flowers#MileyCyrus,1890
43,dancing the chachaslide all night long chachaslidechallenge dance,08/08/2025 22:10,NewYork,dance,#ChaChaSlideChallenge#Dance,912
44,best tacos ever at this food truck tacos streetfood the lime truck,12/05/2025 19:30,LosAngeles,food,#Tacos#StreetFood,1156
45,having a blast at the tomorrowland festival tomorrowland edm,01/07/2025 14:55,Boom,festivals,#Tomorrowland#EDM,1987
46,sipping margaritas at a beach bar taboo in tulum tulum mexico taboo,22/06/2025 18:05,Tulum,place,#Tulum#Mexico,815
47,the beyonc concert was incredible renaissancetour beyonce,15/08/2025 21:48,London,shows,#RenaissanceTour#Beyonce,1722
48,loved the sushi at this new spot sushi japanesefood uogashi nihon ichi,21/07/2025 16:32,Tokyo,food,#Sushi#JapaneseFood,689
49,can t stop listening to cruel summer cruelsummer taylorswift,20/05/2025 9:45,Nashville,song,#CruelSummer#TaylorSwift,1550
50,partying at the burning man festival burningman festival,28/08/2025 1:10,BlackRockCity,festivals,#BurningMan#Festival,1600
51,such a great time at the cafe the daily grind dailygrind cafe,05/07/2025 12:40,Chicago,place,#DailyGrind#Cafe,401
52,the best burger in town burger fastfood five guys,25/05/2025 20:15,London,food,#Burger#FastFood,903
53,just learned the asitwas dance asitwaschallenge dance,02/08/2025 11:27,Paris,dance,#AsItWasChallenge#Dance,1385
54,enjoying a delicious pizza in naples pizza naples l antica pizzeria da michele,08/06/2025 13:52,Naples,food,#Pizza#Naples,721
55,hanging out at copacabana beach copacabana rio,30/07/2025 18:23,RiodeJaneiro,beach,#Copacabana#Rio,1204
56,such a vibe at this concert concert livemusic justin bibber,12/08/2025 20:57,Berlin,shows,#Concert#LiveMusic,857
57,the best pasta in italy pasta italianfood cantina e cucina,01/05/2025 21:36,Rome,food,#Pasta#ItalianFood,528
58,can t stop dancing to kill bill killbill sza,15/06/2025 9:18,NewYork,song,#KillBill#SZA,1752
59,beautiful views from the acropolis acropolis athens,10/07/2025 15:40,Athens,place,#Acropolis#Athens,1400
60,sipping mojitos at this bar mojito cuba el floridita bar,18/05/2025 12:01,Havana,place,#Mojito#Cuba,925
